Grafik pracy - III zmiany IV brygady Gillette Poland International Sp.z o.o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okres Rozliczeniowy : Styczeń - Kwiecień 2026 / Accounting period : January - April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 godzinny dzień pracy /  8 working hours per day
Styczeń / January 2026                                                    A                                                                                   B                                                                                   D                                                                                   C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,,,
Zmiana,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,,160 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,Total 664,,
A,,N,N,,,,P,P,,,R,R,R,R,,N,N,N,N,,,P,P,P,P,,R,R,R,R,R,,168,,,A,664,
B,,,P,P,P,,R,R,R,R,,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,184,,,B,664,
C,,,,N,N,,,,P,P,P,P,P,,R,R,R,R,,N,N,N,N,,,P,P,P,P,P,,,160,,,C,664,
D,,,R,R,R,,N,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,,,P,,168,,,D,664,
Luty / February 2026                    A                                                                               ABCD                                                                               B                                                                                   A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,5,,,,6,,,,,,,7,,,,,,,8,,,,,,,9,,,,,,,,,,,,
Zmiana,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,,,,,160 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,,,,,,,
A,,N,N,N,N,,,,P,P,,R,R,R,R,,N,N,N,N,N,,,P,P,P,P,,,,,,152,,,,,
B,N,,,P,P,P,,,,,P,P,P,P,,R,R,R,R,R,,N,N,N,N,,,P,,,,,144,,,,,
C,R,R,R,R,,,,,R,R,R,,N,N,N,N,,,,P,P,P,P,,R,R,R,R,,,,,152,,,,,
D,P,P,P,,R,R,,,N,N,N,N,,,P,P,P,P,P,,R,R,R,R,,N,N,N,,,,,168,,,,,
Marzec / March 2026                C                                                                                   D                                                                                   B                                                                                   A                                                                                   C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,9,,,,10,,,,,,,11,,,,,,,12,,,,,,,13,,,,,,,,,,,,
Zmiana,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,,176 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,
A,R,R,R,R,,N,N,N,N,,,P,P,P,P,,R,R,R,R,R,,N,N,N,N,,,P,P,P,,192,,,,,
B,P,P,P,,R,R,R,R,,N,N,N,N,,,P,P,P,P,P,,R,R,R,R,,N,N,N,N,,,192,,,,,
C,,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,N,N,N,,,P,P,P,P,,R,R,,184,,,,,
D,N,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,,,P,P,P,P,,R,R,R,R,,N,,176,,,,,
Kwiecień / April 2026                                                                 ABCD                                                                           D                                                                                   A                                                                                   C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,13,14,,,,,,,15,,,,,,,16,,,,,,,17,,,,,,,18,,,,,,,,
Zmiana,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,,,168 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
A,P,P,,,,,,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,,P,P,P,P,P,,,152,,,,,
B,,,,,,,R,R,R,R,,N,N,N,N,,,P,P,P,P,,R,R,R,R,,,N,N,,,144,,,,,
C,R,R,,,,,P,P,P,,R,R,R,R,,N,N,N,N,,,P,P,P,P,,R,R,R,R,,,168,,,,,
D,N,,,,,,N,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,N,N,N,,,,,152,,,,,
"Okres Rozliczeniowy : Maj - Sierpień 2026 / Accounting period : May - August 2026 8 godzinny dzień pracy /  8 working hours per day
Maj / May 2026                                                   ABCD                                                                           B                                                                                   C                                                                                   ABCD                                                                           B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,,,
Zmiana,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,,160 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,Total 672,,
A,,,,,P,P,,R,R,R,R,R,,N,N,N,N,,,P,P,P,P,,N,N,N,N,,,P,,160,,,A,672,
B,,,,,N,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,,,,P,P,P,P,,,152,,,B,672,
C,,,,,,,P,P,P,P,P,,R,R,R,R,,N,N,N,N,,,,R,R,R,,N,N,N,,152,,,C,672,
D,,,,,R,R,R,,,N,N,N,N,,,P,P,P,P,,R,R,R,,P,P,,R,R,R,R,,160,,,D,672,
Czerwiec/ June 2026                                                                                          C                                                                                   A                                                                                   D                                                                                   B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,5,,,,6,,,,,,,7,,,,,,,8,,,,,,,9,,,,,,,,,,,,
Zmiana,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,,,168 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
A,P,P,P,,R,R,R,,N,N,N,N,,,P,P,P,P,,P,P,,R,R,R,R,,N,N,,,,176,,,,,
B,,R,R,,,,P,P,P,P,,R,R,R,R,,,P,,R,R,R,,N,N,N,N,,,R,,,152,,,,,
C,N,N,,,P,P,,R,R,R,R,,N,N,N,N,,P,,N,N,N,N,,,P,P,P,P,,,,168,,,,,
D,R,,,,N,N,N,N,,,P,P,P,P,,R,R,P,,,,P,P,P,P,,R,R,R,,,,152,,,,,
Lipiec / July 2026                                                                       C                                                                         A                                                                          ABCD                                                                           C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,9,,10,,,,,,,11,,,,,,,12,,,,,,,13,,,,,,,14,,,,,,,
Zmiana,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,,184 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,
A,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,,,R,R,R,,N,N,N,N,,,P,P,,168,,,,,
B,R,R,R,,N,N,N,N,,,P,P,P,P,,R,R,R,,N,N,N,N,,,P,P,P,P,,R,,184,,,,,
C,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,,,,P,P,P,P,,R,R,R,R,,,176,,,,,
D,P,P,,R,R,R,R,,N,N,N,N,,,P,P,P,P,,P,P,,R,R,R,R,,N,N,N,N,,192,,,,,
Sierpień / August 2026                         D                                                                                   B                                                                                   ABCD                                                                           D                                                                                   C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,14,,,,,,15,,,,,,,16,,,,,,,17,,,,,,,18,,,,,,,,,,
Zmiana,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,,160 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,
A,P,P,,R,R,R,R,,N,N,N,N,,,,,R,R,R,,N,N,N,N,,,P,P,P,P,,,168,,,,,
B,R,R,R,,N,N,N,N,,,P,P,P,P,,,N,N,N,N,,,P,P,P,P,,R,R,R,R,,184,,,,,
C,N,N,N,N,,,P,P,P,P,,R,R,R,,,P,P,,R,R,R,R,,N,N,N,N,,,P,,176,,,,,
D,,,P,P,P,P,,R,R,R,R,,N,N,,,,,P,P,P,P,,R,R,R,R,,N,N,N,,168,,,,,
"Okres Rozliczeniowy : Wrzesień - Grudzień 2026 / Accounting period : September - December 2026 8 godzinny dzień pracy /  8 working hours per day
Wrzesień / September 2026                                                                 A                                                                                   B                                                                                   ABCD                                                                           D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,,,
Zmiana,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,,,176 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,Total 672,,
A,R,R,R,R,R,,N,N,N,N,,,P,P,P,,R,R,R,,N,N,N,N,,,P,P,P,P,,,184,,,A,672,
B,,N,N,N,N,N,,,P,P,P,P,,R,R,R,,,,,P,P,,R,R,R,R,,N,N,,,160,,,B,672,
C,P,P,P,P,,R,R,R,R,,N,N,N,N,,P,P,P,,,R,R,R,,N,N,N,N,,,,,176,,,C,672,
D,N,,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,,,,P,P,P,P,,R,R,R,,,160,,,D,672,
Październik / October 2026                                          B                                                                                   C                                                                                   A                                                                                   D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tydzień,5,,,,,6,,,,,,,7,,,,,,,8,,,,,,,9,,,,,,,,,,,
Zmiana,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,N,P,Wt,Śr,Cz,Pt,So,,176 h / month,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,
A,,R,R,R,R,,,N,N,N,N,,,P,P,P,P,,R,R,R,R,,N,N,N,N,,,,,,160,,,,,
